REGIAO:;CO
UF:;MT
ESTACAO:;COTRIGUACU
CODIGO (WMO):;A919
LATITUDE:;-9,90638888
LONGITUDE:;-58,57222221
ALTITUDE:;265
DATA DE FUNDACAO:;28/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;981,6;981,6;980,9;0;25,9;25;26;25,7;25;24,6;95;92;95;49;2,3;1;
2024/01/01;0100 UTC;0;982,4;982,4;981,6;0;25,4;24,7;25,9;25,4;25,1;24,6;96;94;96;33;2,5;1,2;
2024/01/01;0200 UTC;0;983;983;982,5;0;24,8;24,6;25,4;24,8;24,6;24,5;99;96;99;6;2,7;,8;
2024/01/01;0300 UTC;0;983,3;983,4;983;0;24,7;;24,8;24,6;;;;;;59;1,7;,4;
2024/01/01;0400 UTC;0;982,6;983,3;982,6;0;24,4;;24,8;24,4;;;;;;111;1,5;,3;
2024/01/01;0500 UTC;0;982,2;982,6;982,2;0;24;;24,4;23,9;;;;;;252;1;,2;
2024/01/01;0600 UTC;0;982,1;982,2;982;0;23,9;;24,1;23,9;;;;;;279;1,6;,5;
2024/01/01;0700 UTC;0;981,7;982,1;981,7;0;24;;24,1;23,9;;;;;;279;2,5;,6;
2024/01/01;0800 UTC;0;981,1;981,7;981,1;0;23,8;;24;23,8;;;;;;297;1,8;,7;
2024/01/01;0900 UTC;0;981,3;981,3;981,1;0;23,5;;23,8;23,5;;;;;;210;2,1;,6;
2024/01/01;1000 UTC;0;982,3;982,3;981,3;8,6;23,5;;23,5;23,4;;;;;;296;2,6;1,4;
2024/01/01;1100 UTC;0;983,3;983,4;982,3;166,6;23,7;;23,7;23,5;;;;;;294;4,9;2,1;
2024/01/01;1200 UTC;0;983,6;983,6;983,3;519,4;25,1;24,3;25,2;23,7;;;;;95;284;5;,8;
2024/01/01;1300 UTC;0;984,6;984,6;983,6;600,8;25,2;24;25,2;24,6;24,4;23,6;96;93;93;300;4,6;2,3;
2024/01/01;1400 UTC;0;984,6;984,8;984,6;1883,4;28,1;24;28,3;25,1;24,9;23,8;95;78;78;299;6,5;2,6;
2024/01/01;1500 UTC;0;983,9;984,6;983,9;2933,9;30,1;25,3;30,1;27,2;25,3;23;81;73;76;276;7,5;1,9;
2024/01/01;1600 UTC;0;983,1;984;983,1;1964;28,8;24,8;30,4;27,5;25,3;23,5;82;73;79;303;7,2;3,2;
2024/01/01;1700 UTC;0;981,9;983,1;981,9;3271,7;28;24,3;30,3;27,8;25,8;23,2;80;72;80;303;8,9;3,9;
2024/01/01;1800 UTC;0;981,2;981,9;981,2;3349,2;29,2;23,6;30;28;25,3;22,9;81;69;71;306;8,6;4,4;
2024/01/01;1900 UTC;0;980,5;981,2;980,4;2779,1;30,6;24,4;30,8;28;24,9;22,8;76;67;70;293;8,6;2,9;
2024/01/01;2000 UTC;0;979,6;980,5;979,6;1663,1;27,3;23,6;31;27,2;25,4;23,3;81;69;80;297;8;4;
2024/01/01;2100 UTC;0;979;979,6;979;1201,5;27,5;23,6;28,3;27,3;24,2;22,9;81;76;79;300;7,9;2,9;
2024/01/01;2200 UTC;0;979,2;979,2;978,8;336,6;26,2;23,2;27,8;26,2;24;23,1;85;79;84;304;5,6;,9;
2024/01/01;2300 UTC;0;980,1;980,1;979,2;15,1;24,7;23,5;26,2;24,6;23,5;23,1;93;84;93;195;2,1;,5;
2024/01/02;0000 UTC;0;981,5;981,5;980,1;0;24,4;23,6;24,7;24,3;23,8;23,5;96;93;95;292;1,3;,7;
2024/01/02;0100 UTC;0;982,6;982,6;981,5;0;24,1;23,6;24,4;24,1;23,7;23,5;97;95;97;249;1,4;,3;
2024/01/02;0200 UTC;0;983,4;983,4;982,6;0;24;23,6;24,2;24;23,8;23,6;98;97;98;319;1,4;,5;
2024/01/02;0300 UTC;0;983,4;983,5;983,3;0;23,7;;24;23,7;23,8;23,5;100;98;;8;1,4;,4;
2024/01/02;0400 UTC;0;982,8;983,4;982,8;0;23,8;23,3;24,1;23,7;24,1;23,3;100;97;97;322;2,1;,8;
