REGIAO:;NE
UF:;BA
ESTACAO:;IRECE
CODIGO (WMO):;A424
LATITUDE:;-11,32888888
LONGITUDE:;-41,86444444
ALTITUDE:;768,42
DATA DE FUNDACAO:;31/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1000 UTC;0;927,7;927,7;927,4;919,6;24,9;21,2;25,1;23,2;22,3;20,9;95;80;80;113;5,8;2,9;
2024/01/01;1100 UTC;0;928,1;928,1;927,7;1526,2;26,1;20,7;26,9;24,9;21,8;20,2;80;70;72;77;5,8;2,1;
2024/01/01;1200 UTC;0;928,2;928,2;928;1911,6;28,4;20,9;28,4;26,1;21,3;19,8;72;63;64;75;5,1;1,9;
2024/01/01;1300 UTC;0;927,8;928,2;927,7;1214,2;27,6;19,6;28,5;27,6;20,7;19,2;64;60;62;65;5,2;2;
2024/01/01;1400 UTC;5,6;927,6;927,8;927,5;581;22,6;21,6;28,6;22,2;21,6;19,1;94;58;94;266;9,8;4,4;
2024/01/01;1500 UTC;2;927,3;927,7;927;302;21,8;;22,8;21,1;;;;;;122;8,5;2;
2024/01/01;1600 UTC;2,2;926;927,4;926;560,1;23;23;23;21,4;;;;;100;91;6,6;1,8;
