REGIAO:;NE
UF:;PI
ESTACAO:;PIRIPIRI
CODIGO (WMO):;A335
LATITUDE:;-4,2761111
LONGITUDE:;-41,79444444
ALTITUDE:;157,89
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;1,6;995,7;995,9;995,4;;23,1;21,4;23,1;22,7;21,4;20,1;90;83;90;181;7,7;,6;
2024/01/01;0100 UTC;1;996;996,1;995,6;;23,2;21,2;23,3;23,1;21,6;21,2;90;89;89;123;2,7;1,4;
2024/01/01;0200 UTC;,6;994,8;996;994,8;;23,3;21,8;23,5;23,2;21,9;21,3;91;89;91;34;2,6;1,6;
2024/01/01;0300 UTC;,2;995,7;995,8;994,7;;23,4;21,8;23,7;23,3;22,1;21,8;92;90;91;138;3,1;,7;
2024/01/01;0400 UTC;0;995,6;995,9;995,6;;23,5;22,1;23,6;23,3;22,2;21,9;92;91;92;342;2,2;1,2;
2024/01/01;0500 UTC;0;994,7;995,6;994,6;;23,2;21,9;23,5;23,2;22,1;21,9;93;92;93;286;2,2;1;
2024/01/01;0600 UTC;0;994,1;994,7;994,1;;22,9;21,7;23,2;22,8;22;21,6;93;93;93;335;2,2;1,1;
2024/01/01;0700 UTC;0;993,6;994,1;993,6;;22,7;21,5;23;22,7;21,8;21,5;93;93;93;263;1,9;1,1;
2024/01/01;0800 UTC;0;993,3;993,6;993,2;;22,8;21,6;22,9;22,7;21,7;21,4;93;93;93;316;1,9;,7;
2024/01/01;0900 UTC;0;993,9;993,9;993,3;,4;23;21,8;23;22,8;21,9;21,6;93;93;93;246;2,8;1,7;
2024/01/01;1000 UTC;0;994,4;994,4;993,5;125,8;23,1;21,9;23,2;22,9;22;21,8;93;93;93;162;2,8;1,4;
2024/01/01;1100 UTC;0;995,2;995,2;994,4;463,4;24;22,4;24;23,1;22,5;21,9;93;90;91;174;2,6;1,1;
2024/01/01;1200 UTC;0;995,6;995,7;995,2;1046,6;26,1;22,7;26,1;24;22,8;22,1;91;82;82;134;2,3;,6;
2024/01/01;1300 UTC;0;995,7;995,7;995,6;2154,7;29,2;24,4;29,2;26,1;24,4;22,5;81;72;75;331;3,7;1,8;
2024/01/01;1400 UTC;0;995,6;995,8;995,5;3131,7;30,2;22,4;30,3;28,5;23,9;22,4;75;63;63;6;6,5;2,7;
2024/01/01;1500 UTC;0;994,8;995,6;994,8;3033,5;30,5;22,7;31,1;29,6;23,8;21,9;68;58;63;10;6,5;2,8;
2024/01/01;1600 UTC;0;993,7;994,8;993,7;2786;31,2;22,3;31,7;30,5;23,7;22,1;65;58;59;1;6,5;2,8;
2024/01/01;1700 UTC;0;992,7;993,7;992,7;3218,7;32,7;21,3;33,3;31;23,5;21,3;62;51;51;9;6,2;2,4;
2024/01/01;1800 UTC;0;992;992,7;991,8;1864,9;30,8;22,9;33,2;30,8;23,6;21,1;63;51;63;351;7,7;3,6;
2024/01/01;1900 UTC;22,4;992,4;992,4;992;141,8;24,6;23,3;30,8;24,6;23,7;23;93;63;93;110;8,6;3,8;
2024/01/01;2000 UTC;2;992,1;992,5;992;249,4;23,9;22,5;24,6;23,8;23,3;22,4;93;92;92;17;6,4;1,6;
2024/01/01;2100 UTC;0;992,5;992,5;992,1;127,5;24;22,6;24,4;23,9;22,9;22,4;92;91;92;323;3,8;1,6;
2024/01/01;2200 UTC;0;992,9;993;992,5;2,7;24,1;22,7;24,2;23,9;22,8;22,5;92;92;92;358;4,3;2,4;
2024/01/01;2300 UTC;0;994;994;992,9;;24,3;22,6;24,3;24,1;22,8;22,5;92;90;90;6;4,3;1,4;
2024/01/02;0000 UTC;0;994,6;994,7;994;;24;22,3;24,3;24;22,6;22,2;90;90;90;358;2,8;2;
2024/01/02;0100 UTC;0;994,3;994,6;994,2;;23,8;22,3;24;23,8;22,3;22,2;91;90;91;28;2,9;1,4;
2024/01/02;0200 UTC;0;993,9;994,3;993,9;;24,1;22,5;24,1;23,8;22,5;22,3;91;91;91;50;2,8;1,5;
2024/01/02;0300 UTC;0;993,5;993,9;993,5;;24,4;22,6;24,4;24,1;22,7;22,5;91;90;90;86;3,2;,7;
2024/01/02;0400 UTC;0;992,5;993,6;992,5;;23,9;22,4;24,4;23,9;22,7;22,4;91;90;91;283;1,4;,4;
2024/01/02;0500 UTC;0;992,2;992,5;992;;23,7;22,4;23,9;23,7;22,5;22,3;93;91;92;237;1,3;,3;
2024/01/02;0600 UTC;0;992,4;992,5;992,2;;23,7;22,5;23,7;23,6;22,5;22,4;93;92;93;223;1,1;,4;
2024/01/02;0700 UTC;0;992,4;992,5;992,2;;23,6;22,4;23,7;23,6;22,5;22,4;93;93;93;242;1,5;,9;
2024/01/02;0800 UTC;0;992,9;992,9;992,4;;23,8;22,6;23,8;23,6;22,7;22,4;93;93;93;184;1,5;,7;
2024/01/02;0900 UTC;0;993,3;993,3;992,9;6,5;23,6;22,5;23,8;23,6;22,6;22,4;93;93;93;218;1,8;,1;
2024/01/02;1000 UTC;,2;994,1;994,1;993,3;324,9;24,4;23,3;24,4;23,6;23,3;22,5;94;93;93;254;1,9;,7;
2024/01/02;1100 UTC;0;994,3;994,3;994,1;1100,8;26,5;23,1;26,5;24,4;23,8;23;93;81;82;314;1,7;,5;
2024/01/02;1200 UTC;0;994,4;994,5;994,3;1594,6;28,2;21,6;28,4;26,5;23,5;21,6;82;68;68;352;2,8;1,3;
2024/01/02;1300 UTC;0;994,3;994,5;994,3;2718,3;30,1;21,7;30,3;28,2;23,2;21,3;72;61;61;6;3,6;1,6;
2024/01/02;1400 UTC;0;994;994,3;994;3251,1;32,4;22,9;32,4;29,9;23,2;21,1;65;54;57;350;6,4;1,5;
2024/01/02;1500 UTC;0;993,4;994;993,4;3588,4;33,6;20;33,6;31,8;22,7;19,1;57;43;45;69;5,2;1,3;
2024/01/02;1600 UTC;0;992,5;993,4;992,5;2817,6;33;20,6;34,4;32,2;22,4;19,4;54;43;48;330;6,1;2;
2024/01/02;1700 UTC;0;991,1;992,5;991,1;3371,9;34,4;21,3;34,6;32,8;22,6;19,7;52;43;47;297;6,4;3,5;
2024/01/02;1800 UTC;0;990,1;991,1;990,1;1863,3;32,8;21,8;34,4;32,2;22,6;20,4;56;45;53;294;6;3,5;
2024/01/02;1900 UTC;0;990,2;990,4;990;1753,6;29,6;21,7;34;29,5;22,8;20,6;64;46;63;81;11,2;5,3;
2024/01/02;2000 UTC;0;990,7;990,7;990,1;1024,4;29,7;22;30,6;29,6;22,1;21,4;64;58;64;120;9,9;3,3;
2024/01/02;2100 UTC;0;991,3;991,3;990,7;215,4;28,4;22,2;29,9;28,4;22,6;21,7;69;62;69;200;5,3;1,9;
2024/01/02;2200 UTC;0;992,4;992,4;991,3;;27,5;22,9;28,4;27,5;22,9;22;76;69;76;8;8,8;3,6;
2024/01/02;2300 UTC;0;993,6;993,6;992,4;;25;22,4;27,5;25;23;22,2;85;76;85;350;11;2,8;
2024/01/03;0000 UTC;0;994,6;994,6;993,6;;25;22,6;25,1;24,9;22,6;22,3;87;85;87;290;5,7;3,1;
2024/01/03;0100 UTC;0;994,7;994,7;994,5;;24,6;22,7;25;24,5;22,7;22,5;90;87;89;354;5,5;,8;
2024/01/03;0200 UTC;0;994,5;994,7;994,3;;24,5;22,7;24,6;24,4;22,8;22,6;90;89;90;272;2,2;,5;
