REGIAO:;SE
UF:;SP
ESTACAO:;BAURU
CODIGO (WMO):;A705
LATITUDE:;-22,358052
LONGITUDE:;-49,028877
ALTITUDE:;636,17
DATA DE FUNDACAO:;30/08/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;941,4;941,4;940,5;;25,2;17,5;26,5;25,2;17,5;17,2;62;57;62;132;7,1;1,7;
2024/01/01;0100 UTC;0;941,9;942;941,4;;23,9;17,3;25,2;23,9;17,5;17,2;67;62;67;113;7,5;1,9;
2024/01/01;0200 UTC;0;942,6;942,6;941,9;;23;17,3;23,9;23;17,5;17,3;71;66;71;96;6,7;2,1;
2024/01/01;0300 UTC;0;942,4;942,8;942,3;;22;17,4;23;22;17,4;17;75;70;75;116;7;2,4;
2024/01/01;0400 UTC;0;942,4;942,5;942,1;;21,1;18;22;21,1;18,1;17,5;83;75;83;100;7,5;2,8;
2024/01/01;0500 UTC;0;942,2;942,6;942,2;;20,5;19,5;21,1;20,5;19,5;18;94;83;94;99;8,3;1,6;
2024/01/01;0600 UTC;0;941,2;942,2;941,2;;20,1;20,1;20,5;20,1;20,2;19,5;100;94;100;110;4,9;1,6;
2024/01/01;0700 UTC;0;940,6;941,2;940,6;;19,9;;20,1;19,9;;;;;;125;5,1;1,8;
2024/01/01;0800 UTC;0;941,1;941,2;940,3;;19,5;;19,9;19,5;;;;;;135;5,1;1,4;
2024/01/01;0900 UTC;0;941,3;941,3;940,9;;19;;19,6;19;;;;;;138;4,2;1,2;
2024/01/01;1000 UTC;0;941,6;941,7;941,2;146,5;19,5;;19,5;18,9;;;;;;111;4;1,3;
2024/01/01;1100 UTC;0;942,2;942,2;941,6;630,4;21,2;20,8;21,2;19,5;;;;;98;99;4,8;1,8;
2024/01/01;1200 UTC;0;942,6;942,6;942,2;1246,2;23,1;18,8;23,1;21,2;20,8;18,7;98;77;77;95;6,7;2,2;
2024/01/01;1300 UTC;0;942,8;942,9;942,5;1791,5;24;19;25;23,1;19,2;18,4;76;68;74;105;5,9;2,1;
2024/01/01;1400 UTC;0;942,8;943;942,7;2778,2;26,5;19,4;26,5;24;19,6;18,7;76;65;65;70;6,7;3,3;
2024/01/01;1500 UTC;0;942,3;942,9;942,3;3648,5;28,9;19,5;29;26,4;20,1;18,8;65;57;57;85;6,4;2;
2024/01/01;1600 UTC;0;941,6;942,3;941,6;2666,9;28,6;19,5;29;27,8;20,1;18,9;60;55;58;50;6;2;
2024/01/01;1700 UTC;0;940,2;941,6;940,2;3157,3;30,7;18;30,8;28,6;20,1;17,4;58;45;47;124;5,1;1,2;
2024/01/01;1800 UTC;0;939,3;940,2;939,3;1886,8;30,9;16,6;31,8;29,3;19,8;16,6;52;42;42;66;5,4;1,2;
2024/01/01;1900 UTC;0;938,4;939,3;938,4;1568,5;31,8;16,2;31,9;30,1;17,4;15,3;46;38;39;227;4,8;,7;
2024/01/01;2000 UTC;0;937,9;938,4;937,9;1690,9;31,1;15,3;32,3;31,1;17;14,2;42;34;39;103;4,2;1;
2024/01/01;2100 UTC;0;937,7;938;937,5;374,6;30,3;15,7;32;30,3;16;14,4;42;35;42;93;3,8;,7;
2024/01/01;2200 UTC;0;938;938,2;937,7;138,2;27,5;17,7;30,2;27,2;18,2;16;57;42;55;135;2,7;,6;
2024/01/01;2300 UTC;0;939,3;939,3;938;;26,6;17,2;27,6;26,3;18,1;17,2;61;54;56;144;3,8;,9;
2024/01/02;0000 UTC;0;940,2;940,2;939,3;;26,3;16,6;26,6;25,7;17,4;16,5;59;55;55;139;5,5;1,9;
2024/01/02;0100 UTC;0;941;941;940,1;;25;17,1;26,3;25;17,1;16,5;61;55;61;107;5,1;1,3;
2024/01/02;0200 UTC;0;941,8;941,8;941;;24;17,5;25;24;17,6;17,1;67;62;67;100;4,5;1,3;
2024/01/02;0300 UTC;0;941,6;942;941,6;;23,1;17,8;24;23,1;17,8;17,5;72;67;72;112;6,1;1,8;
2024/01/02;0400 UTC;0;940,9;941,6;940,9;;22,3;18,3;23,1;22,3;18,3;17,8;78;72;78;114;6,3;2;
2024/01/02;0500 UTC;0;940,4;941;940,4;;21,5;19,3;22,3;21,5;19,3;18,3;87;78;87;107;5,7;1,7;
2024/01/02;0600 UTC;0;940,1;940,5;940,1;;20,8;20,7;21,5;20,8;20,7;19,3;99;87;99;93;8,5;1,9;
